group,iq,age
Chemistry student,51,48
Chemistry student,43,50
Chemistry student,44,49
Chemistry student,49,51
Chemistry student,47,50
Chemistry student,48,50
Chemistry student,45,50
Chemistry student,47,50
Chemistry student,46,50
Chemistry student,47,50
Chemistry student,48,49
Chemistry student,46,48
Chemistry student,45,49
Chemistry student,49,51
Chemistry student,49,52
Math student,46,19
Math student,42,16
Math student,30,21
Math student,43,22
Math student,37,16
Math student,37,16
Math student,42,23
Math student,36,19
Math student,36,21
Math student,45,20
Math student,36,22
Math student,34,19
Math student,38,21
Math student,28,16
Math student,25,30
Physics student,37,15
Physics student,37,16
Physics student,37,13
Physics student,37,15
Physics student,37,16
Physics student,37,15
Physics student,37,15
Physics student,37,14
Physics student,37,13
Physics student,37,15
Physics student,37,15
Physics student,37,16
Physics student,37,16
Physics student,37,15
Physics student,37,15
